What is your Gender?,What is your Age?,"02)	What is your university?","03)	What is your Academic Year?",What is your Faculty?,What is your study location?,What is the city of study location?,Do you engage with e-learning?,What is the mode of your internet connection?,What is your internet connection strength?,What device do you use for e-learning?,How much time do you spend each day on an average on distance education?,How effective has e-learning been for you?,How helpful your University has been in offering you the resources to learn from e-learning?,Do you enjoy learning remotely?,How helpful are your teachers while studying online?,How satisfied or dissatisfied were you with the content of the courses?,How satisfied or dissatisfied were you with the format of the courses in e-learning?,How satisfied or dissatisfied were you with the online interaction you had with the instructor?,How satisfied or dissatisfied were you with the amount of online interaction you had with other students?,The course instructor was accessible to answer questions or give feedback.,The presentation of course topics was clear.,How do you feel overall about e-learning?,How stressful were your students while learning remotely during the COVID-Not at all stressful9 pandemic?,How peaceful is the environment at home while e-learning?,How much satisfied with the internet connection for e-learning?,Your comments on e learning satisfaction if any?
Male,20,University of Moratuwa,1,Architecture,Home,Gampaha,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Agree,Fair,Extremely stressful,Not at all helpful,Very Dissatisfied,
Male,26,University of Moratuwa,5,Architecture,Home,Gampaha,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Slightly effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Male,26,Open University,5,Education,Cafe,Gampaha,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Not at all effective,Very helpful,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Male,21,Open University,2,Education,Home,Narammala,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Not at all effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Dissatisfied,Strongly Agree,Agree,Fair,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,25,Open University,4,Education,Home,Narammala,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Slightly effective,Very helpful,"No, there are quite a few challenges",Slightly helpful,Neither Satisfied or Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Agree,Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,22,Open University,2,Education,Home,Narammala,Yes,WiFi Router,1,Desktop,5-7 hours,Slightly effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Very Dissatisfied,Dissatisfied,Strongly Agree,Undecided,Poor,Very stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Male,25,Open University,4,Engineering Technology,Home,Narammala,Yes,Mobile;WiFi Router,1,Laptop;Smartphone,5-7 hours,Slightly effective,Very helpful,"No, there are quite a few challenges",Slightly helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Dissatisfied,Dissatisfied,Agree,Agree,Poor,Very stressful,Slightly helpful,Dissatisfied,
Male,25,Open University,4,Engineering Technology,Home,Narammala,Yes,WiFi Router,1,Smartphone,5-7 hours,Slightly effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Agree,Poor,Slightly stressful,Not at all helpful,Dissatisfied,
Male,22,Open University,2,Engineering Technology,Home,Narammala,Yes,WiFi Router,2,Smartphone,5-7 hours,Not at all effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Agree,Fair,Very stressful,Not at all helpful,Very Dissatisfied,
Male,22,Open University,2,Engineering Technology,Home,Narammala,Yes,WiFi Router,2,Smartphone,5-7 hours,Slightly effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Agree,Fair,Moderately stressful,Not at all helpful,Dissatisfied,
Male,25,Open University,4,Engineering Technology,Home,Balangoda,Yes,WiFi Router,4,Smartphone,5-7 hours,Slightly effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Very good,Extremely stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Male,20,Open University,1,Engineering Technology,Home,Balangoda,Yes,WiFi Router,3,Smartphone,5-7 hours,Slightly effective,Very helpful,"No, not at all",Slightly helpful,Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Good,Very stressful,Slightly helpful,Dissatisfied,
Male,25,Open University,4,Engineering Technology,Home,Balangoda,Yes,WiFi Router,2,Smartphone,5-7 hours,Slightly effective,Very helpful,"No, not at all",Slightly helpful,Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Fair,Moderately stressful,Not at all helpful,Dissatisfied,
Male,21,Open University,2,Health Sciences,Home,Balangoda,Yes,Mobile;WiFi Router,3,Smartphone,5-7 hours,Slightly effective,Very helpful,"No, there are quite a few challenges",Slightly helpful,Satisfied,Satisfied,Dissatisfied,Very Dissatisfied,Agree,Agree,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Male,21,Open University,2,Health Sciences,Home,Balangoda,Yes,WiFi Router,1,Laptop,5-7 hours,Slightly effective,Very helpful,"No, not at all",Slightly helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Strongly Agree,Poor,Moderately stressful,Not at all helpful,Dissatisfied,
Male,22,Open University,2,Health Sciences,Home,Balangoda,Yes,Broadband,3,Laptop,5-7 hours,Slightly effective,Very helpful,"No, not at all",Slightly helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Dissatisfied,Dissatisfied,Agree,Strongly Agree,Good,Very stressful,Not at all helpful,Satisfied,
Male,25,Open University,4,Health Sciences,Home,Balangoda,Yes,WiFi Router,5,Laptop,5-7 hours,Slightly effective,Extremely helpfuL,"No, there are quite a few challenges",Very helpful,Dissatisfied,Very Satisfied,Very Dissatisfied,Dissatisfied,Strongly Agree,Strongly Agree,Excellent,Very stressful,Slightly helpful,Dissatisfied,
Male,22,Open University,2,Natural Sciences,Home,Balangoda,Yes,WiFi Router,4,Laptop,5-7 hours,Not at all effective,Very helpful,"No, not at all",Very helpful,Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Agree,Strongly Agree,Poor,Not at all stressful,Not at all helpful,Dissatisfied,
Male,25,Open University,4,Natural Sciences,Home,Balangoda,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Not at all effective,Very helpful,"No, not at all",Extremely helpful,Dissatisfied,Satisfied,Very Satisfied,Very Dissatisfied,Agree,Strongly Agree,Good,Not at all stressful,Not at all helpful,Satisfied,
Male,22,Open University,2,Natural Sciences,Home,Embilipitiya,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Not at all effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Slightly stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Male,23,University of Peradeniya,3,Faculty of Agriculture,Home,Embilipitiya,Yes,Mobile;WiFi Router,2,Laptop;Smartphone,5-7 hours,Not at all effective,Extremely helpfuL,"No, not at all",Extremely helpful,Dissatisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Slightly stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Male,22,University of Peradeniya,2,Faculty of Agriculture,Home,Embilipitiya,Yes,WiFi Router,2,Laptop;Smartphone,10+ hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Undecided,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Male,26,University of Peradeniya,5,Faculty of Agriculture,Home,Embilipitiya,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Poor,Moderately stressful,Slightly helpful,Dissatisfied,
Male,20,University of Peradeniya,1,Faculty of Agriculture,Home,Embilipitiya,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Strongly Agree,Excellent,Moderately stressful,Slightly helpful,Satisfied,
Male,21,University of Peradeniya,2,Faculty of Agriculture,Friend's Home,Embilipitiya,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Good,Not at all stressful,Not at all helpful,Satisfied,
Male,22,University of Peradeniya,2,Faculty of Agriculture,Relative's Home,Colombo,Yes,Mobile;WiFi Router,2,Laptop;Smartphone,5-7 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Satisfied,Dissatisfied,Agree,Strongly Agree,Fair,Not at all stressful,Not at all helpful,Satisfied,
Male,21,University of Peradeniya,2,Faculty of Arts,Friend's Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Fair,Moderately stressful,Not at all helpful,Very Dissatisfied,
Male,23,University of Peradeniya,3,Faculty of Arts,Friend's Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Satisfied,Satisfied,Agree,Strongly Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,21,University of Peradeniya,2,Faculty of Arts,Relative's Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Good,Moderately stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Male,21,University of Peradeniya,2,Faculty of Arts,Home,Colombo,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Satisfied,Satisfied,Agree,Strongly Agree,Very good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,25,University of Peradeniya,4,Faculty of Engineering,Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Dissatisfied,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Agree,Strongly Agree,Fair,Not at all stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Male,24,University of Peradeniya,4,Faculty of Engineering,Home,Colombo,Yes,Mobile;WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Undecided,Very good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Male,23,University of Peradeniya,3,Faculty of Engineering,Home,Colombo,Yes,Mobile;WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Disagree,Strongly Agree,Very good,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,25,University of Peradeniya,4,Faculty of Engineering,Home,Colombo,Yes,Mobile;WiFi Router,4,Laptop;Smartphone,5-7 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Satisfied,Satisfied,Agree,Strongly Agree,Very good,Slightly stressful,Slightly helpful,Dissatisfied,
Male,23,University of Peradeniya,3,Faculty of Engineering,Home,Colombo,Yes,Mobile;WiFi Router,2,Laptop;Smartphone,5-7 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Strongly Agree,Fair,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,20,University of Peradeniya,1,Faculty of Science,Home,Colombo,Yes,Mobile;WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Male,22,University of Peradeniya,2,Faculty of Science,Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Dissatisfied,Dissatisfied,Very Satisfied,Very Satisfied,Undecided,Strongly Agree,Poor,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,26,University of Peradeniya,5,Faculty of Science,Home,Colombo,Yes,WiFi Router,3,Laptop;Smartphone,10+ hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Very helpful,Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Undecided,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Male,20,University of Peradeniya,1,Faculty of Science,Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Very Dissatisfied,Disagree,Disagree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Male,22,University of Peradeniya,2,Faculty of Medicine,Home,Colombo,No,WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Agree,Agree,Good,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,25,University of Peradeniya,4,Faculty of Medicine,Home,Colombo,Yes,WiFi Router,4,Smartphone,5-7 hours,Moderately effective,Very helpful,"No, not at all",Very helpful,Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Disagree,Agree,Poor,Not at all stressful,Slightly helpful,Dissatisfied,
Male,23,Rajarata University,3,Applied Sciences,Home,Colombo,Yes,WiFi Router,4,Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Dissatisfied,Satisfied,Satisfied,Satisfied,Disagree,Agree,Very good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,21,Rajarata University,2,Applied Sciences,Home,Colombo,Yes,WiFi Router,2,Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Fair,Not at all stressful,Slightly helpful,Dissatisfied,
Male,21,Rajarata University,2,Applied Sciences,Home,Colombo,Yes,WiFi Router,3,Laptop,1-3 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Dissatisfied,Neither Satisfied or Dissatisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Poor,Not at all stressful,Slightly helpful,Dissatisfied,
Male,23,Rajarata University,3,Applied Sciences,Cafe,Colombo,Yes,Mobile;WiFi Router,1,Laptop,1-3 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Neither Satisfied or Dissatisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Poor,Not at all stressful,Slightly helpful,Dissatisfied,
Male,26,Rajarata University,5,Applied Sciences,Relative's Home,Colombo,Yes,WiFi Router,2,Laptop,1-3 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Neither Satisfied or Dissatisfied,Satisfied,Satisfied,Strongly Agree,Undecided,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Male,21,Rajarata University,2,Applied Sciences,Relative's Home,Colombo,Yes,Broadband,3,Desktop,1-3 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Agree,Good,Not at all stressful,Very helpful,Satisfied,
Male,22,Rajarata University,2,Applied Sciences,"Public Place (Eg:- Library, Temple, etc...)",Colombo,Yes,WiFi Router,4,Laptop,1-3 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Neither Satisfied or Dissatisfied,Very Satisfied,Very Satisfied,Strongly Agree,Agree,Very good,Not at all stressful,Slightly helpful,Dissatisfied,
Male,21,Rajarata University,2,Agriculture,Home,Colombo,Yes,WiFi Router,2,Laptop,1-3 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Disagree,Fair,Not at all stressful,Extremely helpfuL,Very Satisfied,
Male,26,Rajarata University,5,Agriculture,Relative's Home,Colombo,Yes,Mobile;WiFi Router,5,Laptop,1-3 hours,Very effective,Very helpful,"No, not at all",Extremely helpful,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Agree,Excellent,Not at all stressful,Extremely helpfuL,Dissatisfied,
Male,22,Rajarata University,2,Agriculture,Home,Colombo,Yes,WiFi Router,3,Laptop;Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Good,Not at all stressful,Very helpful,Satisfied,
Male,23,Rajarata University,3,Technology,Home,Colombo,Yes,WiFi Router,3,Laptop;Smartphone,1-3 hours,Very effective,Very helpful,"No, not at all",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Satisfied,Satisfied,Undecided,Agree,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Male,22,Rajarata University,2,Technology,Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,1-3 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Agree,Agree,Very good,Not at all stressful,Extremely helpfuL,Very Dissatisfied,
Male,21,Rajarata University,2,Technology,Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,1-3 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Fair,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,21,Rajarata University,2,Technology,Home,Colombo,Yes,Broadband,3,Laptop;Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Good,Slightly stressful,Extremely helpfuL,Dissatisfied,
Male,25,University of Ruhuna,4,Agriculture,Home,Colombo,Yes,WiFi Router,1,Laptop;Smartphone,1-3 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Agree,Strongly Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,23,University of Ruhuna,3,Engineering,Home,Colombo,Yes,Mobile;WiFi Router,5,Laptop;Smartphone,1-3 hours,Moderately effective,Very helpful,"No, not at all",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Agree,Agree,Excellent,Not at all stressful,Slightly helpful,Dissatisfied,
Male,24,University of Ruhuna,4,Engineering,Home,Colombo,Yes,WiFi Router,1,Laptop;Smartphone,1-3 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Undecided,Strongly Agree,Poor,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,21,University of Ruhuna,2,Engineering,Home,Colombo,Yes,WiFi Router,3,Desktop,1-3 hours,Very effective,Very helpful,"No, not at all",Very helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Male,21,University of Ruhuna,2,Engineering,Home,Colombo,Yes,WiFi Router,5,Laptop;Smartphone,1-3 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Excellent,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,25,University of Ruhuna,4,Humanities and Social Sciences,Home,Colombo,Yes,WiFi Router,3,Laptop;Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Undecided,Strongly Agree,Good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,22,University of Ruhuna,2,Humanities and Social Sciences,Home,Colombo,Yes,WiFi Router,1,Laptop;Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Disagree,Strongly Agree,Poor,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,21,University of Ruhuna,2,Humanities and Social Sciences,Home,Colombo,Yes,WiFi Router,2,Laptop;Smartphone,1-3 hours,Moderately effective,Very helpful,"No, not at all",Very helpful,Dissatisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Very good,Slightly stressful,Extremely helpfuL,Satisfied,
Male,25,University of Ruhuna,4,Humanities and Social Sciences,Home,Colombo,Yes,WiFi Router,2,Smartphone,1-3 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Male,25,University of Ruhuna,4,Humanities and Social Sciences,Home,Colombo,Yes,Mobile;WiFi Router,4,Smartphone,1-3 hours,Moderately effective,Very helpful,"No, not at all",Very helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Very good,Moderately stressful,Very helpful,Satisfied,
Male,20,University of Ruhuna,1,Science,Home,Colombo,Yes,WiFi Router,3,Smartphone,1-3 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Moderately helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Agree,Agree,Good,Not at all stressful,Very helpful,Satisfied,
Male,23,University of Ruhuna,3,Science,Home,Colombo,Yes,WiFi Router,2,Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Fair,Not at all stressful,Slightly helpful,Dissatisfied,
Male,26,University of Ruhuna,5,Science,Home,Colombo,Yes,WiFi Router,1,Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Poor,Not at all stressful,Very helpful,Very Dissatisfied,
Male,23,University of Ruhuna,3,Science,Home,Colombo,Yes,WiFi Router,3,Smartphone,1-3 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Agree,Agree,Good,Not at all stressful,Slightly helpful,Dissatisfied,
Male,22,University of Ruhuna,2,Science,Home,Colombo,Yes,Mobile;WiFi Router,3,Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Good,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,26,University of Ruhuna,5,Marine Sciences & Technology,Home,Colombo,Yes,WiFi Router,2,Laptop,1-3 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Agree,Agree,Fair,Not at all stressful,Not at all helpful,Very Dissatisfied,
Male,24,Sabaragamuwa University,4,Agricultural Sciences,Home,Colombo,Yes,WiFi Router,1,Laptop,10+ hours,Moderately effective,Very helpful,"No, not at all",Moderately helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Male,24,Sabaragamuwa University,4,Agricultural Sciences,Home,Colombo,Yes,WiFi Router,2,Laptop,1-3 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Male,23,Sabaragamuwa University,3,Agricultural Sciences,Home,Colombo,Yes,Mobile;WiFi Router,4,Laptop,1-3 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Very Dissatisfied,Satisfied,Satisfied,Agree,Agree,Very good,Slightly stressful,Extremely helpfuL,Very Satisfied,
Male,24,Sabaragamuwa University,4,Applied Sciences,Relative's Home,Colombo,Yes,WiFi Router,3,Desktop,1-3 hours,Moderately effective,Very helpful,"No, not at all",Very helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Good,Slightly stressful,Very helpful,Satisfied,
Male,26,Sabaragamuwa University,5,Applied Sciences,Home,Colombo,Yes,WiFi Router,5,Laptop,1-3 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Moderately helpful,Dissatisfied,Satisfied,Satisfied,Satisfied,Agree,Disagree,Excellent,Slightly stressful,Slightly helpful,Dissatisfied,
Male,26,Sabaragamuwa University,5,Applied Sciences,Home,Colombo,Yes,Broadband,3,Laptop,1-3 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Good,Slightly stressful,Slightly helpful,Satisfied,
Male,26,Sabaragamuwa University,5,Applied Sciences,Home,Colombo,Yes,WiFi Router,3,Laptop;Smartphone,1-3 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Strongly Agree,Strongly Agree,Good,Not at all stressful,Extremely helpfuL,Dissatisfied,
